iter	Passed	Remaining
0	6	687
1	7	359
2	7	248
3	8	192
4	11	209
5	12	193
6	12	169
7	13	151
8	13	136
9	13	124
10	14	114
11	14	106
12	39	265
13	39	244
14	40	230
15	41	217
16	42	206
17	48	222
18	49	210
19	55	223
20	56	211
21	56	199
22	56	188
23	56	179
24	57	172
25	60	171
26	60	163
27	60	155
28	60	149
29	61	143
30	65	146
31	66	140
32	66	135
33	69	135
34	70	130
35	70	125
36	70	120
37	71	117
38	72	113
39	78	117
40	78	112
41	79	109
42	79	105
43	79	101
44	80	97
45	80	95
46	81	92
47	82	89
48	82	85
49	82	82
50	83	80
51	84	77
52	84	75
53	85	72
54	85	70
55	86	67
56	86	65
57	86	62
58	87	60
59	87	58
60	92	58
61	93	57
62	94	55
63	94	53
64	94	51
65	94	48
66	95	46
67	95	44
68	95	42
69	95	40
70	95	39
71	96	37
72	96	35
73	96	34
74	97	32
75	97	30
76	97	29
77	98	27
78	98	26
79	98	24
80	99	23
81	99	21
82	99	20
83	100	19
84	100	17
85	101	16
86	103	15
87	103	14
88	105	12
89	105	11
90	105	10
91	106	9
92	107	8
93	107	6
94	108	5
95	108	4
96	109	3
97	112	2
98	112	1
99	113	0
